branch	uncorrected_p	corrected_p	rate_classes	rate_distribution(omega:prop)	positive_selection
Node15	1.021e-14	2.145e-13	2	0.411:0.86;11.813:0.14	YES
Hemorrhois_hippocrepis_C9B	9.369e-06	0.0001874	2	0.551:0.98;235.159:0.02	YES
Arizona_elegans_C9A	1	1	1	0.561:1.00	no
Arizona_elegans_C9B	1	1	1	0.367:1.00	no
Arizona_elegans_C9C	1	1	1	0.605:1.00	no
Hemorrhois_hippocrepis_C9A	1	1	1	0.931:1.00	no
Hemorrhois_hippocrepis_C9C	1	1	1	0.557:1.00	no
Node10	1	1	1	0.251:1.00	no
Node16	1	1	1	0.413:1.00	no
Node18	0.4133	1	1	10000000000.000:1.00	no
Node2	0.4007	1	1	1.699:1.00	no
Node5	0.08901	1	2	0.188:0.98;13.664:0.02	no
Node7	0.1242	1	1	3.104:1.00	no
Node8	1	1	1	0.422:1.00	no
Node9	1	1	1	0.448:1.00	no
Pantherophis_obsoletus_C9A	1	1	1	0.442:1.00	no
Pantherophis_obsoletus_C9B	0.4286	1	1	1.206:1.00	no
Pantherophis_obsoletus_C9C	1	1	1	0.669:1.00	no
Pituophis_catenifer_C9A	1	1	1	0.615:1.00	no
Pituophis_catenifer_C9B	1	1	1	0.262:1.00	no
Pituophis_catenifer_C9C	1	1	1	0.287:1.00	no
