branch	uncorrected_p	corrected_p	rate_classes	rate_distribution(omega:prop)	positive_selection
Laticauda_colubrina_C9A	6.24e-11	2.933e-09	2	0.507:0.87;11.125:0.13	YES
Node13	5.202e-06	0.0002393	2	0.000:0.99;352.032:0.01	YES
Naja_naja_C9A	1.509e-05	0.0006788	2	1.000:0.96;33.873:0.04	YES
Node16	0.0001091	0.0048	2	0.000:0.93;21.599:0.07	YES
Node42	0.0001422	0.006114	2	0.915:0.99;170.896:0.01	YES
Chrysopelea_ornata_C9A	0.0007915	0.03324	2	0.390:0.98;198.795:0.02	YES
Node5	0.001021	0.04187	2	0.481:1.00;11188.060:0.00	YES
Liasis_olivaceus_C9A	0.001537	0.06149	2	0.997:0.98;74.471:0.02	no
Bungarus_multicinctus_C9A	0.002112	0.08237	2	0.000:0.67;7.274:0.33	no
Node11	0.002642	0.1004	2	0.138:0.93;70.359:0.07	no
Node6	0.01174	0.4343	2	0.000:0.98;111.057:0.02	no
Ptyas_mucosa_C9A	0.02343	0.8434	2	0.808:1.00;1315.197:0.00	no
Arizona_elegans_C9A	1	1	1	0.604:1.00	no
Bothrops_jararaca_C9A	1	1	1	0.782:1.00	no
Candoia_aspera_C9A	1	1	1	0.481:1.00	no
Crotalus_adamanteus_C9A	1	1	1	0.000:1.00	no
Crotalus_tigris_C9A	1	1	1	0.178:1.00	no
Hemorrhois_hippocrepis_C9A	1	1	1	0.623:1.00	no
Hydrophis_cyanocinctus_C9A	0.1593	1	1	10000000000.000:1.00	no
Hydrophis_major_C9A	1	1	1	0.000:1.00	no
Malpolon_monspessulanus_C9A	0.1756	1	2	0.000:0.84;2.523:0.16	no
Masticophis_lateralis_C9A	1	1	1	0.737:1.00	no
Node12	0.09863	1	1	4.981:1.00	no
Node14	1	1	1	0.157:1.00	no
Node17	0.1314	1	1	2.710:1.00	no
Node19	0.2542	1	1	2.085:1.00	no
Node2	0.4205	1	1	1.577:1.00	no
Node20	1	1	1	0.911:1.00	no
Node21	1	1	1	0.841:1.00	no
Node27	1	1	1	0.786:1.00	no
Node28	0.1177	1	2	0.000:0.83;3.515:0.17	no
Node29	0.4903	1	1	1.090:1.00	no
Node30	0.5	1	1	1.047:1.00	no
Node32	0.04163	1	2	0.136:0.98;35.914:0.02	no
Node36	1	1	1	0.585:1.00	no
Node39	1	1	1	0.243:1.00	no
Node40	0.03504	1	2	0.024:0.86;5.420:0.14	no
Node8	0.449	1	1	1.320:1.00	no
Notechis_scutatus_C9A	1	1	1	0.441:1.00	no
Pantherophis_obsoletus_C9A	1	1	1	0.420:1.00	no
Pituophis_catenifer_C9A	1	1	1	0.631:1.00	no
Protobothrops_mucrosquamatus_C9A	1	1	1	0.828:1.00	no
Pseudonaja_textilis_C9A	1	1	1	0.744:1.00	no
Python_bivittatus_C9A	1	1	1	0.446:1.00	no
Thamnophis_elegans_C9A	0.103	1	2	0.509:0.94;6.203:0.06	no
Vipera_berus_C9A	1	1	1	0.416:1.00	no
Vipera_seoanei_C9A	1	1	1	0.568:1.00	no
