Naja_naja_C9A	1	78	1	26	100.000	26	5.36e-10	52.0
Naja_naja_C9A	1154	1288	26	70	77.778	45	7.27e-18	77.4
Naja_naja_C9A	1840	2001	54	107	94.444	54	6.40e-29	112
Naja_naja_C9A	3794	3943	107	156	100.000	50	5.46e-27	106
Naja_naja_C9A	5541	5681	157	203	97.872	47	1.17e-25	102
Naja_naja_C9A	7373	7600	198	273	96.053	76	1.70e-40	148
Naja_naja_C9A	11923	11976	274	291	94.444	18	9.95e-37	39.3
Naja_naja_C9A	11991	12191	298	367	84.286	70	9.95e-37	123
Naja_naja_C9A	13817	13942	355	395	83.333	42	3.79e-15	68.9
Naja_naja_C9A	15495	15710	396	467	87.500	72	3.49e-32	122
Naja_naja_C9A	5711	5583	421	463	25.581	43	7.8	18.9
Naja_naja_C9A	16912	17133	452	525	95.946	74	6.01e-41	149
Naja_naja_C9A	16846	16959	494	534	29.268	41	7.0	18.9
Naja_naja_C9A	18043	18213	527	583	96.491	57	4.41e-31	119
