Vipera_seoanei_C9A	1	78	1	26	80.769	26	2.47e-07	43.5
Vipera_seoanei_C9A	911	1027	26	64	69.231	39	1.06e-12	61.2
Vipera_seoanei_C9A	8807	8908	38	68	29.412	34	2.8	20.4
Vipera_seoanei_C9A	1299	1451	57	107	84.314	51	6.71e-23	94.0
Vipera_seoanei_C9A	2565	2714	107	156	82.000	50	1.13e-21	90.1
Vipera_seoanei_C9A	4873	5013	157	203	85.106	47	1.88e-22	92.4
Vipera_seoanei_C9A	6278	6499	199	272	56.757	74	3.94e-20	85.1
Vipera_seoanei_C9A	11018	11284	276	367	66.304	92	3.49e-36	135
Vipera_seoanei_C9A	14991	15116	355	396	40.476	42	2.07e-05	37.4
Vipera_seoanei_C9A	473	396	388	413	34.615	26	5.7	19.6
Vipera_seoanei_C9A	18541	18729	401	463	84.127	63	4.08e-27	107
Vipera_seoanei_C9A	20345	20575	456	532	83.117	77	3.94e-39	144
Vipera_seoanei_C9A	21526	21684	532	584	73.585	53	2.84e-14	66.2
