species,locus_id,had_start,had_stop,start_fix,stop_fix,now_start,now_stop,internal_stops,cds_len
Acritoscincus_duperreyi,Acritoscincus_duperreyi_copy1,Y,N,no,+6bp,Y,Y,0,1794
Anniella_stebbinsi,Anniella_stebbinsi_copy1,Y,N,no,+3bp,Y,Y,0,1740
Anolis_carolinensis,Anolis_carolinensis_copy1,Y,N,no,+12bp,Y,Y,0,1626
Anolis_carolinensis,Anolis_carolinensis_copy2,Y,Y,no,no,Y,Y,0,1776
Anolis_sagrei,Anolis_sagrei_copy1,Y,N,no,+3bp,Y,Y,0,1614
Anolis_sagrei,Anolis_sagrei_copy2,Y,Y,no,no,Y,Y,0,1773
Arizona_elegans,Arizona_elegans_copy1,Y,Y,no,no,Y,Y,0,1752
Arizona_elegans,Arizona_elegans_copy2,Y,Y,no,no,Y,Y,0,1752
Arizona_elegans,Arizona_elegans_copy3,Y,Y,no,no,Y,Y,0,1752
Aspidoscelis_tigris,Aspidoscelis_tigris_copy1,Y,N,no,+12bp,Y,Y,0,1761
Bothrops_jararaca,Bothrops_jararaca_copy2,Y,Y,no,no,Y,Y,0,1752
Bothrops_jararaca,Bothrops_jararaca_copy3,Y,Y,no,no,Y,Y,0,1752
Bradypodion_pumilum,Bradypodion_pumilum_copy1,Y,N,no,+3bp,Y,Y,1,1719
Bungarus_multicinctus,Bungarus_multicinctus_copy1,Y,Y,no,no,Y,Y,0,1752
Bungarus_multicinctus,Bungarus_multicinctus_copy2,Y,Y,no,no,Y,Y,0,1752
Candoia_aspera,Candoia_aspera_copy1,Y,Y,no,no,Y,Y,0,1752
Carinascincus_ocellatus,Carinascincus_ocellatus_copy1,Y,N,no,+6bp,Y,Y,0,1761
Chrysopelea_ornata,Chrysopelea_ornata_copy2,N,N,no,+33bp,N,Y,0,393
Correlophus_ciliatus,Correlophus_ciliatus_copy1,Y,N,no,+18bp,Y,Y,0,1806
Crotalus_adamanteus,Crotalus_adamanteus_copy1,Y,Y,no,no,Y,Y,0,1752
Crotalus_adamanteus,Crotalus_adamanteus_copy2,Y,Y,no,no,Y,Y,0,1752
Crotalus_tigris,Crotalus_tigris_copy1,Y,Y,no,no,Y,Y,0,1752
Crotalus_tigris,Crotalus_tigris_copy2,Y,Y,no,no,Y,Y,0,1752
Cryptoblepharus_egeriae,Cryptoblepharus_egeriae_copy1,Y,Y,no,no,Y,Y,0,1770
Cyclura_pinguis,Cyclura_pinguis_copy1,Y,N,no,+9bp,Y,Y,0,1785
Dopasia_gracilis,Dopasia_gracilis_copy1,Y,N,no,frameshift_skip,Y,N,39,1750
