Cyclura_pinguis_C9A	CM059600.1	595	82	278	359	329421633	329421878	98.780	6.56e-44	174
Cyclura_pinguis_C9A	CM059600.1	595	77	461	537	329427708	329427938	98.701	8.43e-40	162
Cyclura_pinguis_C9A	CM059600.1	595	86	193	278	329419525	329419782	90.698	5.30e-39	159
Cyclura_pinguis_C9A	CM059600.1	595	61	401	461	329425886	329426068	100.000	2.17e-27	124
Cyclura_pinguis_C9A	CM059600.1	595	52	56	107	329410835	329410990	94.231	6.19e-22	106
Cyclura_pinguis_C9A	CM059600.1	595	50	106	155	329413333	329413482	100.000	6.70e-22	106
Cyclura_pinguis_C9A	CM059600.1	595	62	534	595	329429392	329429577	96.774	7.06e-22	106
Cyclura_pinguis_C9A	CM059600.1	595	47	156	202	329416125	329416265	97.872	1.57e-20	102
Cyclura_pinguis_C9A	CM059600.1	595	42	359	400	329423896	329424021	100.000	8.65e-17	90.5
Cyclura_pinguis_C9A	CM059600.1	595	32	26	57	329405027	329405122	100.000	1.39e-12	77.0
Cyclura_pinguis_C9A	CM059600.1	595	67	464	530	328476155	328475958	41.791	4.10e-08	62.4
Cyclura_pinguis_C9A	CM059600.1	595	51	542	592	328473559	328473407	47.059	1.49e-06	57.4
Cyclura_pinguis_C9A	CM059600.1	595	60	47	106	328359553	328359732	43.333	3.02e-06	56.2
Cyclura_pinguis_C9A	CM059600.1	595	82	282	363	328430228	328430473	31.707	3.20e-06	56.2
Cyclura_pinguis_C9A	CM059604.1	595	225	302	521	11277675	11277043	25.333	1.14e-09	67.4
Cyclura_pinguis_C9A	CM059604.1	595	181	303	483	9110684	9111193	25.414	2.10e-07	60.1
Cyclura_pinguis_C9A	CM059602.1	595	68	463	529	83828793	83828996	39.706	6.66e-08	61.6
Cyclura_pinguis_C9A	CM059602.1	595	47	542	588	83831851	83831991	55.319	7.67e-07	58.2
Cyclura_pinguis_C9A	CM059602.1	595	82	282	363	83809537	83809782	35.366	8.64e-07	58.2
Cyclura_pinguis_C9A	CM059602.1	595	46	535	580	83851589	83851455	58.696	2.77e-06	56.6
