Pseudonaja_textilis_C9A	19564	19487	1	26	100.000	26	2.76e-10	53.1
Pseudonaja_textilis_C9A	18440	18318	26	66	82.927	41	2.90e-17	75.9
Pseudonaja_textilis_C9A	17732	17571	54	107	94.444	54	1.54e-28	111
Pseudonaja_textilis_C9A	16098	15949	107	156	100.000	50	4.25e-27	107
Pseudonaja_textilis_C9A	14390	14250	157	203	97.872	47	8.51e-26	103
Pseudonaja_textilis_C9A	12800	12564	195	273	93.671	79	4.45e-41	150
Pseudonaja_textilis_C9A	7480	7208	274	367	89.362	94	1.85e-49	175
Pseudonaja_textilis_C9A	14962	14912	309	325	47.059	17	3.2	20.0
Pseudonaja_textilis_C9A	5052	4927	355	396	100.000	42	1.26e-20	86.7
Pseudonaja_textilis_C9A	2670	2452	396	468	87.671	73	7.12e-33	125
Pseudonaja_textilis_C9A	1286	1056	456	532	98.701	77	1.85e-44	160
Pseudonaja_textilis_C9A	171	1	528	584	96.491	57	2.72e-31	120
