site	alpha	beta1	p1	beta+	p+	LRT	p-value	#_branches_under_selection	Total_branch_length	MEME_LogL	FEL_LogL	LRT_MEME_vs_FEL	FEL_alpha	FEL_beta
1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
2	0	0	1	0	0	0	1	0	0	0	0	1	0	0
3	3.2503	0.00081259	0.01	7.541	0.99	0.69847	0.37957	5	0	-34.359	-34.347	1	3.2503	7.541
4	6.8968	0.076716	1e-08	1.2746	1	0	0.66667	0	0	-20.43	-20.43	1	6.9531	1.2809
5	1.8451	0	0.87087	19.345	0.12913	0.88214	0.34018	1	0	-18.644	-19.212	0.56652	3.4583	2.4565
6	4.3249e-05	1.0812e-08	0.01	3.438	0.99	1.7516	0.20843	2	0	-18.292	-18.29	1	4.3249e-05	3.438
7	3.2046	8.2808e-06	1	0.085031	0	0	0.66667	0	0	-9.3174	-9.3174	1	3.1936	8.8141e-06
8	0	0	1	0	0	0	1	0	0	0	0	1	0	0
9	0	0	1	0	0	0	1	0	0	0	0	1	0	0
10	6.6398	0.021803	1e-08	2.5307	1	0	0.66667	0	0	-21.963	-21.962	1	6.5872	2.6127
11	0	0	1	0	0	0	1	0	0	0	0	1	0	0
12	0	0	1	0	0	0	1	0	0	0	0	1	0	0
13	5.0253e-05	2.0938e-05	0.95065	48.051	0.049351	0.92346	0.33204	1	0	-11.414	-11.601	0.82904	5.3861e-05	1.1696
14	0	0	1	0	0	0	1	0	0	0	0	1	0	0
15	3.4916e-05	1.4462e-05	0.89246	103.57	0.10754	4.3127	0.053789	3	0	-19.164	-20.311	0.31745	3.8916e-05	3.8114
16	0.0012269	5.7512e-08	0.010094	1.1591	0.98991	0.63129	0.39548	1	0	-9.5316	-9.5315	1	0.0012035	1.1012
17	0	0	1	0	0	0	1	0	0	0	0	1	0	0
18	3.1342e-06	7.8355e-10	0.01	2.92	0.99	0.99405	0.31868	1	0	-14.999	-14.993	1	3.1342e-06	2.92
19	0.00018015	4.5037e-08	0.01	1.2046	0.99	0.37822	0.46506	1	0	-10.308	-10.307	1	0.00018015	1.2046
20	2.195e-05	5.4874e-09	0.01	2.4261	0.99	2.1065	0.1719	0	0	-15.117	-15.117	1	2.195e-05	2.4261
21	16.686	0	0.017794	3.5339	0.98221	0	0.66667	0	0	-28.795	-28.794	1	16.822	3.4532
22	3.2658	0.00081644	0.01	8.307	0.99	0.86368	0.34389	1	0	-31.929	-31.918	1	3.2658	8.307
23	2.1042	0.0001843	0.010175	2.3995	0.98982	0.010242	0.64061	2	0	-21.098	-21.099	0.99972	2.1502	2.3772
24	0	0	1	0	0	0	1	0	0	0	0	1	0	0
25	1.1369e-05	5.7398e-06	0.8276	32.716	0.1724	2.7587	0.12132	3	0	-19.265	-19.649	0.68159	1.2889e-05	3.599
26	3.0646e-05	7.6614e-09	0.01	0.9948	0.99	0.70238	0.37867	1	0	-11.289	-11.289	1	3.0646e-05	0.9948
27	4.4168	2.6613	0.89175	2.9644	0.10825	0	0.66667	0	0	-25.437	-25.437	1	4.4041	2.7608
28	10.194	0.033135	0.051381	2.5973	0.94862	0	0.66667	0	0	-29.839	-29.837	1	9.9644	2.5211
29	9.9845	0	0.49525	6.2806	0.50475	0	0.66667	0	0	-25.708	-25.712	0.99544	10.161	3.0198
30	6.8124	4.0837	0.89091	14.235	0.10909	0.015317	0.63432	0	0	-27.892	-27.902	0.99033	6.5643	4.96
31	3.5411	0.0002767	0.010156	4.2856	0.98984	0.026961	0.62263	1	0	-27.309	-27.309	0.99935	3.5581	4.1835
32	16.694	1.0485	0.94447	0.99899	0.055534	0	0.66667	0	0	-16.957	-16.957	0.99991	16.482	1.0138
33	7.5444	0.050358	0.086703	1.1941	0.9133	0	0.66667	0	0	-20.381	-20.378	1	7.4832	1.1517
34	6.2836	0	0.7892	5.0596	0.2108	0	0.66667	0	0	-20.152	-20.216	0.93849	6.6871	0.97069
35	10.035	1.2082	0.9859	0.53773	0.014098	0	0.66667	0	0	-17.664	-17.663	1	10.201	1.2009
36	0	0	1	0	0	0	1	0	0	0	0	1	0	0
37	6.0104e-05	2.1334e-05	0.962	81.441	0.037996	1.3088	0.26635	1	0	-10.28	-10.658	0.68531	5.3861e-05	1.1696
38	0	0	1	0	0	0	1	0	0	0	0	1	0	0
39	8.1543	1.6806e-05	1	0.37004	0	0	0.66667	0	0	-12.775	-12.775	1	8.1636	1.7649e-05
40	4.6555	0.0011639	0.01	5.5354	0.99	0.038178	0.61326	1	0	-30.302	-30.301	1	4.6555	5.5354
41	3.8771e-05	9.6927e-09	0.01	1.5743	0.99	1.6061	0.22576	1	0	-10.853	-10.853	1	3.8771e-05	1.5743
42	0	0	1	0	0	0	1	0	0	0	0	1	0	0
43	1.8148	0.00045369	0.01	4.7252	0.99	0.8756	0.34149	1	0	-27.364	-27.363	1	1.8148	4.7252
44	0	0	1	0	0	0	1	0	0	0	0	1	0	0
45	1.5044e-06	8.0246e-07	0.48652	9.0503	0.51348	1.5587	0.23175	1	0	-25.036	-25.083	0.95334	1.4916e-06	4.0551
46	5.8981	0.014276	1e-08	2.287	1	0	0.66667	0	0	-21.267	-21.267	1	6.1977	2.3077
47	0	0	1	0	0	0	1	0	0	0	0	1	0	0
48	5.7407	0	0.96937	142.55	0.030634	4.4805	0.049309	1	0	-20.854	-24.543	0.024997	5.7294	2.3414
49	0	0	1	0	0	0	1	0	0	0	0	1	0	0
50	0	0	1	0	0	0	1	0	0	0	0	1	0	0
51	8.376e-08	4.1848e-08	0.54883	16.368	0.45117	2.1176	0.17087	1	0	-28.036	-28.198	0.85042	9.3352e-08	5.8373
52	3.0423	0	0.72638	3.8031	0.27362	-0.025155	0.66667	1	0	-13.212	-13.169	1	3.0136	0.97138
53	0	0	1	0	0	0	1	0	0	0	0	1	0	0
54	0	0	1	0	0	0	1	0	0	0	0	1	0	0
55	17.24	0.0044795	0.68746	34.573	0.31254	0.27079	0.50108	2	0	-38.03	-39.518	0.22598	21.231	8.8372
56	2.1822e-05	1.0647e-05	0.95766	69.375	0.042339	5.7395	0.025771	1	0	-12.308	-14.822	0.080959	3.1973e-05	2.3202
57	2.8763e-07	1.6134e-07	0.70209	14.06	0.29791	1.5397	0.23419	1	0	-20.311	-20.412	0.90432	5.7339e-07	3.2599
58	3.1853	2.4424	0.81791	4.2723	0.18209	-0.00099455	0.66667	0	0	-20.181	-20.18	1	3.1797	2.7682
59	1.7715	0.00027286	1	0.065477	0	0	0.66667	0	0	-10.636	-10.636	0.99998	1.7664	0.00029059
60	3.0686	2.7451e-07	1	0.24923	0	0	0.66667	0	0	-8.479	-8.479	1	3.0625	2.8078e-07
61	2.4607	5.4389e-07	1	0.0041546	0	0	0.66667	0	0	-8.6239	-8.6239	1	2.5013	6.2221e-07
62	11.422	0	0.057036	4.4313	0.94296	0	0.66667	0	0	-26.118	-26.118	1	11.296	4.1641
63	7.2407	0.0056729	0.66563	3.2505	0.33437	0	0.66667	0	0	-17.801	-17.762	1	7.5783	1.1747
64	1.5368	0.80683	0.5	20.145	0.5	4.635	0.045521	1	0	-36.493	-36.714	0.80209	1.5368	10.073
65	0.00024101	6.0253e-08	0.01	1.1264	0.99	0.68439	0.38283	1	0	-9.5028	-9.5026	1	0.00024101	1.1264
66	0	0	1	0	0	0	1	0	0	0	0	1	0	0
67	6.4277	1.8259e-06	1	0.33874	0	0	0.66667	0	0	-12.599	-12.599	1	6.4344	1.9173e-06
68	3.0288	2.5703e-05	1	0.24768	0	0	0.66667	0	0	-10.132	-10.132	0.99999	3.0228	2.6291e-05
69	16.209	1.4997e-06	1	0.46089	0	0	0.66667	0	0	-12.06	-12.06	1	16.233	1.5754e-06
70	3.1569	6.4191e-06	1	0.21948	0	0	0.66667	0	0	-8.4691	-8.4693	0.9998	3.2476	6.8981e-06
71	7.211	4.9903e-07	1	0.35381	0	0	0.66667	0	0	-14.17	-14.17	1	7.2189	5.2402e-07
72	12.166	7.2986e-05	1	0.42312	0	0	0.66667	0	0	-13.714	-13.714	0.99999	12.182	7.6659e-05
73	7.4486e-05	1.8622e-08	0.01	0.97877	0.99	0.56456	0.41222	1	0	-10.398	-10.397	1	7.4486e-05	0.97877
74	0	0	1	0	0	0	1	0	0	0	0	1	0	0
75	8.5026e-06	5.0967e-10	0.01012	6.1432	0.98988	2.7456	0.12217	1	0	-24.169	-24.171	0.99768	8.3018e-06	6.0567
76	11.631	0	0.81564	66.084	0.18436	1.9095	0.19123	2	0	-39.65	-41.433	0.16806	13.045	7.4938
77	11.929	0.05131	1e-08	4.8356	1	0	0.66667	0	0	-38.934	-38.932	1	12.496	4.844
78	0	0	1	0	0	0	1	0	0	0	0	1	0	0
79	31.369	9.4512e-06	1	0.54404	0	0	0.66667	0	0	-12.824	-12.824	0.99998	31.43	9.9331e-06
80	14.902	0.01777	0.96306	82.865	0.036944	0.46412	0.43944	1	0	-17.906	-18.331	0.65345	14.187	1.0921
81	5.4503e-05	1.3626e-08	0.01	1.0872	0.99	0.46467	0.43928	1	0	-7.6691	-7.668	1	5.4503e-05	1.0872
82	10.074	4.9357	0.8663	159.89	0.1337	2.8105	0.11804	1	0	-52.068	-53.472	0.2456	11.751	12.468
83	5.8948	2.8431	0.96956	347.07	0.030442	3.1805	0.097111	1	0	-35.097	-36.191	0.33495	2.4343	6.5733
84	0	0	1	0	0	0	1	0	0	0	0	1	0	0
85	3.3781	1.7163	0.50807	12.412	0.49193	0.42673	0.45029	0	0	-36.374	-36.376	0.99842	3.2415	6.5428
86	7.1071	5.5282	0.86116	6.0888	0.13884	0	0.66667	0	0	-39.067	-39.065	1	6.7926	5.6107
87	4.8579	0	0.01	8.4942	0.99	0.27067	0.50112	0	0	-29.931	-29.929	1	4.8579	8.4942
88	13.046	0.0051183	0.66875	23.617	0.33125	-0.048376	0.66667	4	0	-35.45	-35.849	0.67071	12.947	7.6613
89	13.885	2.058	0.71044	42.385	0.28956	0.68911	0.38174	1	0	-52.266	-52.675	0.66416	14.036	12.313
90	12.422	1.4056e-07	1	0.42588	0	0	0.66667	0	0	-9.1656	-9.1656	1	12.439	1.4764e-07
91	12.674	1.4857e-05	1	0.4339	0	0	0.66667	0	0	-17.263	-17.263	1	12.633	1.5177e-05
92	6.1164	0.001471	0.73618	4.2116	0.26382	0	0.66667	0	0	-12.542	-12.5	1	5.9723	1.1275
93	1.7963e-07	8.4543e-08	0.89455	16.627	0.10545	3.7733	0.071204	1	0	-11.065	-12.253	0.30503	1.9329e-07	2.4318
94	0.00010762	6.4511e-09	0.01012	4.839	0.98988	2.0925	0.1732	1	0	-19.587	-19.586	1	0.00010506	4.7763
95	3.4539	2.1542	0.88573	3.6351	0.11427	0.00066001	0.6604	0	0	-18.836	-18.837	0.99949	3.4913	2.3338
96	6.0768	0.0004852	0.01016	6.9312	0.98984	0.0078365	0.64407	2	0	-36.003	-36.002	1	6.0975	6.8029
97	0	0	1	0	0	0	1	0	0	0	0	1	0	0
98	2.6335	1.3167	0.525	13.077	0.475	0.79928	0.35727	0	0	-30.143	-30.15	0.99337	2.6335	6.5385
99	5.7857	0.0014464	0.01	7.7407	0.99	0.05861	0.59869	2	0	-32.347	-32.342	1	5.7857	7.7407
100	0.0001041	5.6215e-05	0.78968	29.339	0.21032	2.8292	0.11688	0	0	-18.103	-18.997	0.40911	0.00010626	5.4087
101	2.8411	1.0648e-05	1	0.23425	0	0	0.66667	0	0	-9.4937	-9.4937	1	2.8528	1.1182e-05
102	0	0	1	0	0	0	1	0	0	0	0	1	0	0
103	3.7392e-06	1.4704e-06	0.93505	137.49	0.064945	2.4905	0.13991	0	0	-16.013	-16.872	0.42363	2.4884e-05	2.3619
104	0	0	1	0	0	0	1	0	0	0	0	1	0	0
105	6.9751e-05	1.7438e-08	0.01	1.1662	0.99	0.38957	0.46153	0	0	-9.4294	-9.4293	1	6.9751e-05	1.1662
106	0	0	1	0	0	0	1	0	0	0	0	1	0	0
107	0	0	1	0	0	0	1	0	0	0	0	1	0	0
108	6.5337	0	0.75998	6.43	0.24002	0	0.66667	0	0	-15.318	-15.343	0.97496	6.4095	1.4299
109	0	0	1	0	0	0	1	0	0	0	0	1	0	0
110	5.2817	2.8573	0.71885	3.9831	0.28115	0	0.66667	0	0	-31.789	-31.788	1	5.2649	3.1725
111	0	0	1	0	0	0	1	0	0	0	0	1	0	0
112	0.0008003	0.00063691	0.54672	9.3472	0.45328	1.7463	0.20903	2	0	-19.697	-19.879	0.83429	0.062703	4.4279
113	2.3528	5.0756e-08	1	0.074605	0	0	0.66667	0	0	-9.0498	-9.0498	1	2.3455	5.4043e-08
114	1.5435	4.7504e-06	1	0.1744	0	0	0.66667	0	0	-10.628	-10.628	1	1.541	4.8609e-06
115	2.4835	0.00019406	0.010156	2.7504	0.98984	0.0058959	0.64723	1	0	-20.666	-20.665	1	2.4942	2.6935
116	6.1398	4.2452e-05	1	0.32391	0	0	0.66667	0	0	-8.4029	-8.4028	1	6.2706	3.8151e-05
117	0	0	1	0	0	0	1	0	0	0	0	1	0	0
118	14.919	0	0.79889	6.6859	0.20111	0	0.66667	0	0	-27.746	-27.799	0.9481	15.362	1.0885
119	0	0	1	0	0	0	1	0	0	0	0	1	0	0
120	6.4459	3.2418	0.83239	3.2474	0.16761	0	0.66667	0	0	-19.157	-19.156	1	6.4095	3.218
121	3.2126	2.0564e-07	1	0.085117	0	0	0.66667	0	0	-9.8269	-9.8269	0.99999	3.2016	2.1889e-07
122	0	0	1	0	0	0	1	0	0	0	0	1	0	0
123	0	0	1	0	0	0	1	0	0	0	0	1	0	0
124	6.8608	2.686e-05	1	0.35143	0	0	0.66667	0	0	-11.263	-11.263	0.99999	6.8428	2.7457e-05
125	10.157	0	0.96452	107.95	0.035478	2.7222	0.12369	1	0	-20.045	-23.516	0.031083	10.428	2.3078
126	3.4223	3.0559e-05	1	0.26233	0	0	0.66667	0	0	-9.8227	-9.8227	0.99999	3.4152	3.1255e-05
127	88.922	1.1446e-05	1	0.48063	0	0	0.66667	0	0	-15.415	-15.414	1	86.295	9.3717e-06
128	0	0	1	0	0	0	1	0	0	0	0	1	0	0
129	3.2858e-06	1.5229e-06	0.94266	31.296	0.057341	5.0002	0.037698	1	0	-10.37	-12.53	0.11541	4.4765e-06	2.1689
130	11.079	4.7386	0.9731	383.33	0.0269	6.2631	0.019704	1	0	-40.6	-43.553	0.052168	5.9354	11.27
131	0	0	1	0	0	0	1	0	0	0	0	1	0	0
132	11.815	4.6657	0.81897	4.5703	0.18103	0	0.66667	0	0	-29.238	-29.238	1	11.86	4.6656
133	6.611	3.0493e-07	1	0.25002	0	0	0.66667	0	0	-7.1744	-7.1744	1	6.614	2.6026e-07
134	0.00013908	8.1111e-05	0.72087	23.798	0.27913	5.0782	0.036213	4	0	-28.21	-29.073	0.42162	0.00015379	5.6478
135	0	0	1	0	0	0	1	0	0	0	0	1	0	0
136	3.6292	7.1648e-08	1	0.26646	0	0	0.66667	0	0	-14.836	-14.836	1	3.6324	7.5218e-08
137	6.7325	0.029288	1e-08	3.0114	1	0	0.66667	0	0	-26.687	-26.687	1	6.7391	3.0178
