Xantusia_vigilis_C9A	CM123437.1	584	132	274	404	30196952	30196587	68.939	3.85e-44	175
Xantusia_vigilis_C9A	CM123437.1	584	90	443	532	30190126	30189857	85.556	1.39e-40	164
Xantusia_vigilis_C9A	CM123437.1	584	75	200	274	30201050	30200826	100.000	6.86e-37	153
Xantusia_vigilis_C9A	CM123437.1	584	61	397	457	30193776	30193594	100.000	3.39e-26	120
Xantusia_vigilis_C9A	CM123437.1	584	63	53	112	30210741	30210553	85.714	9.52e-25	115
Xantusia_vigilis_C9A	CM123437.1	584	50	104	153	30206447	30206298	100.000	2.67e-21	105
Xantusia_vigilis_C9A	CM123437.1	584	47	154	200	30204167	30204027	97.872	4.20e-20	101
Xantusia_vigilis_C9A	CM123437.1	584	57	528	584	30187634	30187464	92.982	2.12e-17	92.4
Xantusia_vigilis_C9A	CM123437.1	584	43	355	397	30195503	30195375	100.000	3.96e-17	91.7
Xantusia_vigilis_C9A	CM123437.1	584	38	19	56	30215514	30215401	86.842	3.20e-12	75.9
Xantusia_vigilis_C9A	CM123437.1	584	52	531	581	31127498	31127653	51.923	1.86e-07	60.5
Xantusia_vigilis_C9A	CM123437.1	584	26	1	26	30221413	30221336	100.000	3.52e-06	56.2
Xantusia_vigilis_C9A	CM123434.1	584	224	299	515	15152884	15152261	25.000	2.64e-08	63.2
Xantusia_vigilis_C9A	CM123432.1	584	67	460	525	191891812	191891612	44.776	1.04e-07	61.2
Xantusia_vigilis_C9A	CM123432.1	584	78	278	355	191913570	191913337	32.051	3.16e-07	59.7
Xantusia_vigilis_C9A	CM123432.1	584	90	267	356	191830654	191830908	31.111	3.24e-07	59.7
