Crotalus_adamanteus_C9A	1	78	1	26	80.769	26	1.55e-07	43.9
Crotalus_adamanteus_C9A	906	1022	26	64	66.667	39	2.95e-12	59.3
Crotalus_adamanteus_C9A	986	948	44	56	46.154	13	4.4	19.6
Crotalus_adamanteus_C9A	1690	1851	54	107	88.889	54	2.38e-26	104
Crotalus_adamanteus_C9A	3352	3501	107	156	90.000	50	8.26e-24	96.7
Crotalus_adamanteus_C9A	5625	5765	157	203	89.362	47	1.67e-23	95.5
Crotalus_adamanteus_C9A	7115	7348	195	272	48.718	78	1.08e-16	73.9
Crotalus_adamanteus_C9A	9502	9768	276	367	68.478	92	6.15e-37	137
Crotalus_adamanteus_C9A	12781	12903	355	395	39.024	41	6.26e-05	35.4
Crotalus_adamanteus_C9A	16228	16398	401	457	91.228	57	1.58e-27	108
Crotalus_adamanteus_C9A	17455	17685	456	532	84.416	77	8.39e-39	143
Crotalus_adamanteus_C9A	18232	18390	532	584	69.811	53	3.19e-13	62.4
